rest_path_length,rest_settling_time,rest_drift_total,rest_final_offset,participant,level,trial_in_level,level_target_deg,held_angle_deg
0.0108852990214018,0.5,0.00463689083861461,0.03903139761781535,P01,1,1,0.0,0.0
0.005237467169959331,0.48870000000000013,0.009366221410267111,0.0615929379068737,P01,1,2,0.0,0.0
0.0017146264369941354,0.19979999999999976,0.0035307135789365346,0.053040456257464445,P01,1,3,0.0,0.0
0.0,0.19999999999999973,0.0003999999999999837,0.05498590728541268,P01,1,4,0.0,0.0
0.005558024166180228,0.47740000000000027,0.0023828427124746258,0.05998666518485588,P01,1,5,0.0,0.0
0.03800110815515438,0.48880000000000035,0.006757903791621968,0.023041701326074002,P01,2,1,8.0,1.6
0.0018828427124745503,0.19989999999999997,0.004477927174436577,0.030513111935690854,P01,2,2,8.0,3.2
0.004922682007444766,0.25550000000000006,0.005349789859063669,0.020811775512915773,P01,2,3,8.0,4.800000000000001
0.0010999999999998789,0.1886000000000001,0.00039999999999995595,0.021103791128610053,P01,2,4,8.0,6.4
0.006586383394905642,0.4887999999999999,0.007444489300610227,0.0412368767003516,P01,2,5,8.0,8.0
0.01082266811822961,0.48870000000000013,0.016693497807344304,0.013788763541376757,P01,3,1,16.0,9.6
0.0016242640687118347,0.1998000000000002,0.002340491834728741,0.007484650960465713,P01,3,2,16.0,11.2
0.0059535972067113665,0.3664999999999998,0.013757187620173666,0.02926174977679909,P01,3,3,16.0,12.8
0.0137946578579359,0.5001000000000002,0.007960250720404103,0.023349946466748085,P01,3,4,16.0,14.4
0.0039583796604546855,0.26659999999999995,0.009142980459168604,0.03600138886209809,P01,3,5,16.0,16.0
0.007389700304418969,0.4887999999999999,0.010810120774111764,0.03682078217528794,P01,4,1,24.0,17.6
0.0006999999999999229,0.19960000000000022,0.0022071067811866244,0.04291479931212543,P01,4,2,24.0,19.2
0.004779335526533736,0.32220000000000004,0.008592441818405867,0.055027356832760915,P01,4,3,24.0,20.8
0.0028459972868927373,0.1998000000000002,0.004509955295296847,0.03193524698511037,P01,4,4,24.0,22.4
0.005285943875078786,0.21089999999999964,0.005873096442263283,0.03811587595740126,P01,4,5,24.0,24.0
0.008696385962418857,0.48870000000000013,0.007319858100677534,0.039221550198838405,P01,5,1,32.0,25.6
0.0034025995527706557,0.23329999999999984,0.0030371630891611267,0.0466275669534665,P01,5,2,32.0,27.2
0.006852473525479376,0.4886999999999997,0.005463558802283447,0.019068298298484856,P01,5,3,32.0,28.8
0.0023071067811864915,0.1997,0.0035236067977500044,0.007186793443532387,P01,5,4,32.0,30.4
0.004109710898955992,0.33309999999999995,0.00544175355636861,0.006338769596696195,P01,5,5,32.0,32.0
0.002065685424949678,0.19989999999999997,0.0034128990204491034,0.022318826134006237,P01,6,1,40.0,33.6
0.006842795773013656,0.47750000000000004,0.006884275587531708,0.020459227746911657,P01,6,2,40.0,35.2
0.03479841469626716,0.48870000000000013,0.027136407714363944,0.056157368171950516,P01,6,3,40.0,36.8
0.004415114484226392,0.2554000000000003,0.0042828587052651124,0.04614596407054469,P01,6,4,40.0,38.4
0.0030459972868928003,0.1997,0.003531370849898515,0.03354772719574309,P01,6,5,40.0,40.0
0.001441421356237602,0.1998000000000002,0.004251804062707395,0.038548800240733816,P01,7,1,48.0,41.6
0.004365486441640835,0.29990000000000006,0.010686878139434704,0.01669401090211698,P01,7,2,48.0,43.2
0.005682660886301427,0.36660000000000004,0.008760599973574975,0.016100931650063,P01,7,3,48.0,44.8
0.0024388905057061727,0.19979999999999976,0.00284852813742395,0.004712748667179279,P01,7,4,48.0,46.4
0.005064632918788579,0.3555999999999999,0.005550340965804045,0.0304139770500341,P01,7,5,48.0,48.0
0.03534395817013948,0.49990000000000023,0.019570785382262385,0.05838570030409843,P01,8,1,56.0,49.6
0.046665139423669615,0.4885999999999999,0.030746402358276786,0.06985849984074953,P01,8,2,56.0,51.2
0.002738426085980572,0.28880000000000017,0.007304807941722389,0.06973872668754429,P01,8,3,56.0,52.8
0.015003248829816672,0.4663999999999997,0.010362189066379852,0.05696990433553493,P01,8,4,56.0,54.4
0.002963494070965946,0.39979999999999993,0.006324158428143908,0.04233213909076649,P01,8,5,56.0,56.0
0.00787052381787762,0.4888999999999999,0.0033963990038858053,0.04174685616905781,P01,8,5,56.0,56.0
0.003794938298937543,0.19999999999999996,0.005364280342881322,0.03577373338079212,P01,8,5,56.0,56.0
0.05213423303194572,0.4887999999999999,0.019004720856966313,0.01688342382338371,P01,9,3,64.0,60.8
0.008689693416318686,0.4998,0.00432908906660618,0.02363154671196957,P01,9,4,64.0,62.4
0.005056939616883862,0.2777000000000003,0.003706177259678026,0.0552756727684069,P01,9,5,64.0,64.0
0.012874318592018883,0.4887999999999999,0.006201825280041239,0.037961691216277495,P01,10,1,72.0,65.6
