movement_time,num_submovements,peak_speed,time_to_peak_norm,endpoint_dev,path_length,straightness,forearm_compensation_deg,ldlj_smoothness,participant,level,trial_in_level,level_target_deg,held_angle_deg
0.7112,21,1.4640124732087973,0.5714285714285714,0.09282268041809613,0.413311077067368,0.9040400234095795,8.96011065498709,-13.590365114586524,P00,1,1,0.0,0.0
1.3443,24,1.5825626384141789,0.225,0.09190718143866672,0.4588557079840459,0.8955779231893796,5.30456078640433,-16.540602788754775,P00,1,4,0.0,0.0
0.5224,18,1.5386444222637692,0.5869565217391305,0.06586759446040213,0.35296845745694466,0.9524524663898717,7.56210182251131,-11.799091127659157,P00,1,5,0.0,0.0
0.4220999999999999,17,1.285777251508143,0.4864864864864865,0.07268486775113517,0.23567209491015179,0.8698920954153492,10.46306112871099,-10.541296331909168,P00,2,1,8.0,1.6
1.0,12,1.528794626561799,0.9101123595505618,0.07892439420103269,0.24060365455245894,0.7470222319173617,13.835380466977908,-14.463862786261252,P00,2,2,8.0,3.2
0.5777000000000001,18,1.798510507461919,0.27450980392156865,0.05997007587122099,0.44787607716294153,0.9440097267616031,6.505778257981789,-12.405758982090324,P00,2,3,8.0,4.800000000000001
0.6110000000000002,19,2.0539157532072014,0.5,0.08448490989519972,0.5095387110943319,0.9476463425478938,7.331491632837082,-12.585222752524528,P00,2,4,8.0,6.4
0.4776999999999998,14,2.2088426764683478,0.5238095238095238,0.08591559811815315,0.44526077774695333,0.950967741638207,12.206841040638274,-11.290033617906031,P00,2,5,8.0,8.0
0.4667000000000001,15,2.0669933843241863,0.6585365853658537,0.09168745824811592,0.3835185129900598,0.9385690198753417,14.632128021738662,-11.0729404536686,P00,3,1,16.0,9.6
0.3999999999999999,13,2.1290825375995364,0.8571428571428571,0.10188807584796171,0.3631032195422813,0.9225279795686743,18.102933488923274,-10.274674162637755,P00,3,2,16.0,11.2
0.42210000000000014,14,2.769570322343942,0.6216216216216216,0.088093927145973,0.4930929679568217,0.9780606070110035,7.563536027960438,-10.518874492472936,P00,3,3,16.0,12.8
0.34450000000000003,10,1.4048855587424,0.7,0.10592761679562136,0.2107614016546939,0.8995170034949179,19.77711938129217,-9.031839633560939,P00,3,4,16.0,14.4
0.32199999999999984,9,2.0861163384507417,0.8571428571428571,0.12538632301810274,0.28319786568802763,0.9623229837275127,22.844708071724998,-8.864685852863955,P00,3,5,16.0,16.0
0.5666999999999998,18,1.9432956593480661,0.54,0.08141510916285749,0.4750883640992005,0.9395225612406004,8.134877212774365,-12.32601229169612,P00,4,2,24.0,19.2
0.3003,4,2.012685900586427,0.6923076923076923,0.15126166070753028,0.26249142309490175,0.9494984912440109,26.57636707358189,-8.241093709456974,P00,4,3,24.0,20.8
0.5109000000000001,15,2.3081959611439435,0.3111111111111111,0.1122469153250992,0.4146916829534797,0.880622340525842,14.409411477740832,-11.4158605149395,P00,4,5,24.0,24.0
0.4110999999999998,15,3.350218939434931,0.5833333333333334,0.14965430164215132,0.5700409902907785,0.9564079856410078,23.166992903588195,-10.351594300985294,P00,5,2,32.0,27.2
0.6555,21,1.5031921955823038,0.3793103448275862,0.13670263347865683,0.4282698956153361,0.924085455577593,21.939112442358407,-13.174388196889527,P00,5,4,32.0,30.4
0.5221999999999998,20,1.862709290823019,0.41304347826086957,0.12559402852046744,0.39197757010291073,0.9498382685306842,21.770445608105383,-11.619048623767261,P00,6,2,40.0,35.2
0.3554999999999999,11,1.9687651845867489,0.7741935483870968,0.20870567792947087,0.294663802838423,0.9161995727936714,38.311806501823796,-9.258886699383782,P00,6,4,40.0,38.4
0.33329999999999993,11,1.7733107786296316,0.6551724137931034,0.168633241088464,0.26874675059645325,0.8951970414419858,30.352352323190928,-9.040560476555154,P00,6,5,40.0,40.0
0.34450000000000003,12,2.0814125550140767,0.9,0.21255523987895478,0.2705424918125775,0.9034127561688087,42.064326553578816,-9.068605503600915,P00,7,3,48.0,44.8
0.6111000000000002,14,3.0742112971336133,0.5,0.1830049999316958,0.6244523320697077,0.8639467881048216,31.384429477122833,-12.411336746986814,P00,7,4,48.0,46.4
0.36660000000000004,11,2.6991267634710003,0.875,0.24147376669112522,0.4273173582092452,0.9511180578761218,40.79214839968679,-9.699950684500134,P00,7,5,48.0,48.0
0.4778,18,2.4474787729577705,0.6428571428571429,0.26661993548870283,0.47131159330720007,0.9480314365816388,44.42838060660722,-11.146905687166743,P00,8,4,56.0,54.4
1.9998,29,1.1972944627835842,0.6033519553072626,0.19583081984202586,0.49178737566773645,0.7378871603954347,34.09255854022296,-19.048080383834463,P00,8,5,56.0,56.0
1.9998999999999998,53,1.0234250095153452,0.9608938547486033,0.050385116850117644,0.5448460164320836,0.22965434721692118,0.9857277498426755,-19.108436269213904,P00,10,2,72.0,67.2
1.1223,26,2.2659229659798723,0.18,0.2985091790883489,0.5863691143139189,0.7532058616206542,61.85877764636608,-15.59208849594717,P00,11,4,80.0,78.4
1.9998,36,1.3192851825352638,0.4748603351955307,0.283926064319569,0.5946484804543992,0.4229656552692244,61.451777108465464,-19.081052139468685,P00,11,5,80.0,80.0
